'Price','Size'
210,2.5
145,1.5
168,1.799999952
352,4.699999809
234,2.400000095
148,1.5
217,2.5
216,3.299999952
213,2.599999905
143,1.600000024
178,1.600000024
131,1.399999976
181,2.900000095
148,1.600000024
127,1.899999976
158,1.700000048
226,2.599999905
194,1.899999976
166,1.799999952
207,2.799999952
139,1.5
143,1.5
141,1.899999976
142,1.600000024
214,2.200000048
262,2.700000048
19.10000038,2
167,2.200000048
153,1.600000024
153,1.600000024
184,2.299999952
123,1.399999976
182,1.899999976
143,1.600000024
144,1.5
161,1.600000024
157,1.700000048
155,1.700000048
203,2.200000048
147,1.799999952
173,1.799999952
160,1.700000048
219,2.400000095
156,1.899999976
169,1.899999976
133,1.5
154,2.900000095
220,2.900000095
151,1.899999976
188,2.299999952
153,1.700000048
215,2.099999905
144,1.899999976
125,1.700000048
152,1.700000048
132,1.399999976
164,2
